Date,Open,High,Low,Close,Volume,Adj Close
1/3/2012,409.399994,458.240021,409,456.47998,90644200,59.397751
2/1/2012,458.410004,547.610046,453.980011,542.440002,154007000,70.582985
3/1/2012,548.169983,621.450012,516.219971,599.549988,185402000,78.014206
4/2/2012,601.830017,644,555,583.97998,201314100,75.988213
5/1/2012,584.900024,596.76001,522.179993,577.730042,131795600,75.174957
6/1/2012,569.159973,590,548.5,584,98539600,75.990822
7/2/2012,584.730042,619.869995,570,610.76001,111571100,79.472862
8/1/2012,615.910034,680.869995,600.25,665.23999,93636100,86.933533
9/4/2012,665.76001,705.070007,656,667.100037,128080400,87.176598
10/1/2012,671.159973,676.75,587.700012,595.320007,150628900,77.796387
11/1/2012,598.219971,603,505.75,585.279968,158585300,76.833694
12/3/2012,593.650024,594.590027,501.230011,532.169983,159903000,69.86158
1/2/2013,553.820007,555,435,455.48999,160032800,59.795277
2/1/2013,459.109985,484.940002,437.660004,441.400024,127191400,58.283291
3/1/2013,438,469.949982,419,442.660004,120246400,58.449665
4/1/2013,441.899994,445.25,385.100006,442.779999,132443500,58.465508
5/1/2013,444.459991,465.75,418.899994,449.730042,111725300,59.776257
6/3/2013,450.72998,454.429993,388.869995,396.529999,94963100,52.705132
7/1/2013,402.690002,457.339966,401.220001,452.529968,77966700,60.148418
8/1/2013,455.749969,513.73999,453.259979,487.220032,94666300,65.186859
9/3/2013,493.099976,507.919983,447.220001,476.749969,111138700,63.786034
10/1/2013,478.449982,539.25,478.279999,522.699951,88189400,69.933846
11/1/2013,524.02002,558.330017,512.380005,556.069946,69291000,74.832901
12/2/2013,558,575.140015,538.799988,561.02002,86672400,75.499046
1/2/2014,555.679993,560.200012,493.549988,500.599976,109889900,67.36805
2/3/2014,502.610016,551.190002,499.300018,526.23999,82267500,71.242439
3/3/2014,523.419983,549,522.809998,536.73999,61552000,72.663933
4/1/2014,537.76001,599.429993,511.329987,590.089966,82044000,79.886467
5/1/2014,592,644.169983,580.330017,633,74996300,86.174271
6/2/2014,633.959961,651.26001,89.650002,92.93,59829300,88.558014
7/1/2014,93.519997,99.440002,92.57,95.599998,49633100,91.102402
8/1/2014,94.900002,102.900002,93.279999,102.5,46746200,98.163643
9/2/2014,103.059998,103.739998,96.139999,100.75,75318200,96.487679
10/1/2014,100.589996,108.040001,95.18,108,61083400,103.430954
11/3/2014,108.220001,119.75,107.720001,118.93,44485400,114.392441
12/1/2014,118.809998,119.25,106.260002,110.379997,50681700,106.168648
1/2/2015,111.389999,120,104.629997,117.160004,69419400,112.68998
2/2/2015,118.050003,133.600006,116.080002,128.460007,63081500,124.046478
3/2/2015,129.25,130.279999,121.629997,124.43,53669600,120.154938
4/1/2015,124.82,134.539993,123.099998,125.150002,51396700,120.850197
5/1/2015,126.099998,132.970001,123.360001,130.279999,50251800,126.329437
6/1/2015,130.279999,131.389999,124.480003,125.43,41949200,121.626511
7/1/2015,126.900002,132.970001,119.220001,121.300003,50017800,117.62175
8/3/2015,121.5,122.57,92,112.760002,79152700,109.835632
9/1/2015,110.150002,116.889999,107.360001,110.300003,60620000,107.43943
10/1/2015,109.07,121.220001,107.309998,119.5,52804000,116.400833
11/2/2015,120.800003,123.82,111,118.300003,39491000,115.725212
12/1/2015,118.75,119.860001,104.82,105.260002,43734700,102.969025
1/4/2016,102.610001,105.849998,92.389999,97.339996,70286300,95.221397
2/1/2016,96.470001,98.889999,92.589996,96.690002,42303900,95.098801
3/1/2016,97.650002,110.419998,97.419998,108.989998,35088000,107.196381
4/1/2016,108.779999,112.389999,92.510002,93.739998,44806000,92.197342
5/2/2016,93.970001,100.730003,89.470001,99.860001,44886900,98.814621
6/1/2016,99.019997,101.889999,91.5,95.599998,37040500,94.599213
7/1/2016,95.489998,104.550003,94.370003,104.209999,35675600,103.11908
8/1/2016,104.410004,110.230003,104,106.099998,28686500,105.558037
9/1/2016,106.139999,116.18,102.529999,113.050003,47828300,112.472542
10/3/2016,112.709999,118.690002,112.279999,113.540001,33968200,112.960037
11/1/2016,113.459999,113.769997,104.080002,110.519997,35903600,110.519997
12/1/2016,110.370003,118.019997,108.25,115.82,30201100,115.82
